"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath"
"Архив\Программы RC","Очерель RC\.vs\Очерель RC\v14\.suo","36352","2021-03-15T17:17:25.0576721Z","2016-05-02T12:08:27.0000000Z","2022-02-07T00:17:36.0000000Z","533536","1137bba6338fb8cc9257c28fa7f5c38081e75f4687826e9a83bad3c1b12726b4","manifest-only","generated-file:.suo",""
"Архив\Программы RC","Очерель RC\Очерель RC.sln","1333","2021-03-15T17:17:25.0367282Z","2016-04-29T17:39:45.0000000Z","2022-02-07T00:17:36.0000000Z","533536","6f588cd3bf5252896aabe4bbf16d9275a2e4eba00935b8688259e7fc93865951","copied","tracked-original-file","projects\Архив\Программы RC\Очерель RC\Очерель RC.sln"
"Архив\Программы RC","Очерель RC\Очерель RC.VC.db","11927552","2021-03-15T17:17:25.0437235Z","2016-05-02T12:08:28.0000000Z","2022-02-07T00:17:36.0000000Z","533536","005177fb5cf61b35e3be071504422a5e9a7c948983b39826f033971399585fc7","manifest-only","generated-file:.vc.db",""
"Архив\Программы RC","Очерель RC\Очерель RC\Очерель RC.cpp","1926","2021-03-15T17:17:25.0636560Z","2016-05-02T12:06:15.0000000Z","2026-07-14T01:20:15.1540546Z","533536","9c51bb0c4ab598b6099a4b292e11756521b6ea2f95abc580f4f945fd22b6ea4b","copied","tracked-original-file","projects\Архив\Программы RC\Очерель RC\Очерель RC\Очерель RC.cpp"
"Архив\Программы RC","Очерель RC\Очерель RC\Очерель RC.vcxproj","8055","2021-03-15T17:17:25.0626586Z","2016-04-29T17:39:45.0000000Z","2022-02-07T00:17:36.0000000Z","533536","adfab13fd522acaa7481d0883032028228388093f634e57f4d608befe2a7b096","copied","tracked-original-file","projects\Архив\Программы RC\Очерель RC\Очерель RC\Очерель RC.vcxproj"
"Архив\Программы RC","Очерель RC\Очерель RC\Очерель RC.vcxproj.filters","1504","2021-03-15T17:17:25.0606644Z","2016-04-29T17:39:45.0000000Z","2022-02-07T00:17:36.0000000Z","533536","40afe0152c7f4f2e12dcb78761f36d44ea6d70fc0c60636b3f11a9bbbfa7cfcd","copied","tracked-original-file","projects\Архив\Программы RC\Очерель RC\Очерель RC\Очерель RC.vcxproj.filters"
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\Очерель RC.log","164","2021-03-15T17:17:25.0746289Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","376812bbab92522c45c19ee93fcbce556d3fa7f90d00d51c0e5f89952874af42","manifest-only","generated-file:.log",""
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\Очерель RC.obj","55787","2021-03-15T17:17:25.0726594Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","ba9fafa82db555d7d57ab95ae788b19fb2dcf1a0c1f052c79bf633dc741e576a","manifest-only","generated-file:.obj",""
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\Очерель RC.pch","3801088","2021-03-15T17:17:25.0816092Z","2016-04-29T18:34:21.0000000Z","2022-02-07T00:17:36.0000000Z","533536","9332ba20b4a990b61a3e2817ad2ca9b65c993cb23783f80ca4263f7a530f62ce","manifest-only","generated-file:.pch",""
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\Очерель RC.tlog\Очерель RC.lastbuildstate","242","2021-03-15T17:17:25.0846011Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","f586a6231e8b83d466be1a876bb52dd4fbe5ec86a8133f5b9281424268b658ea","manifest-only","generated-file:.lastbuildstate",""
