"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\StrHelper.h","3669","2021-03-15T17:11:18.0743424Z","2019-05-26T09:51:48.0000000Z","2026-07-14T07:12:40.2525998Z","533536","eb3e4d339fc5276238e277e407a5c3d3f2c087a70a7ede2dd93d4803b3f0d564","copied","tracked-original-file","projects\C++\Код C++\Шифрование и криптография\Shamir_Secret\Shamir_Secret\StrHelper.h"
"C++","Shamir_Secret\.vs\Shamir_Secret\v16\.suo","59904","2021-03-15T17:11:26.1109709Z","2019-06-11T19:06:42.0000000Z","2026-07-14T07:16:21.9346273Z","533536","7c2e91fb7eea9f1c8555c81fda7c95c2a1e6461826ca8f154a6a20b38862a37d","manifest-only","generated-file:.suo",""
"C++","Shamir_Secret\.vs\Shamir_Secret\v16\Browse.VC.db","40615936","2021-03-15T17:11:26.1109709Z","2019-06-11T19:06:43.0000000Z","2026-07-14T07:16:21.9376300Z","533536","14f6d8c32d7e71ea92afaf510617fac52889a8b1ffc34595bea305a8cd1321f8","manifest-only","sensitive-or-history-binary-held-local",""
"C++","Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\46c8602cadd6a8c0\SHAMIR_SECRET.ipch","109248512","2021-03-15T17:11:26.1265922Z","2019-06-11T18:23:08.0000000Z","2026-07-14T07:16:22.1676277Z","533536","c21a6cbc8f4c0c7331001f88394093d8dbfc51cc5befbd728b5b04f357ed19fd","manifest-only","generated-file:.ipch",""
"C++","Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\55ba7ea9d68816e5\FILEIO.ipch","108658688","2021-03-15T17:11:26.1265922Z","2019-06-09T13:54:30.0000000Z","2026-07-14T07:16:22.7641697Z","533536","ae0a79ab1ccec51e3524bef0325903087623f144053426f3ada4124df947a2e4","manifest-only","generated-file:.ipch",""
"C++","Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\9ce33019aaaa9355\INFOIO.ipch","87097344","2021-03-15T17:11:26.1422135Z","2019-06-01T22:05:47.0000000Z","2026-07-14T07:16:23.2223994Z","533536","2a54f3612417c7b400970593e63ae2ece61583d357626b2447a3deeb20657149","manifest-only","generated-file:.ipch",""
"C++","Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\d4170a8a1a803e67\INFOIO.ipch","114229248","2021-03-15T17:11:26.1422135Z","2019-06-01T15:42:27.0000000Z","2026-07-14T07:16:23.6100967Z","533536","fe11e74ab0631b457c58e375c7b829159a9fdd1b6600333421a1066f05ccc1f1","manifest-only","generated-file:.ipch",""
"C++","Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\f25c7396e5daa15c\MAIN.ipch","114819072","2021-03-15T17:11:26.1265922Z","2019-06-01T15:42:14.0000000Z","2026-07-14T07:16:24.1046704Z","533536","335654b2f4c1a7f2623344de85a433a7319240f489e5cda5fa60d097aa0bb0ca","manifest-only","generated-file:.ipch",""
"C++","Shamir_Secret\Debug\Shamir_Secret.exe","307712","2021-03-15T17:11:26.0484860Z","2019-06-11T19:05:40.0000000Z","2026-07-14T07:16:24.5622297Z","533536","f43c88d6d0575a3af16ea81fa3a76b303d6796d092476a8d5d18621982490e65","manifest-only","executable-deliverable-held-local",""
"C++","Shamir_Secret\Debug\Shamir_Secret.ilk","2637140","2021-03-15T17:11:26.0484860Z","2019-06-11T19:05:40.0000000Z","2026-07-14T07:16:24.5722260Z","533536","2eb3403a8b72e7a1925be3467d057671655bdba0f9daefe694597893c5c0ded9","manifest-only","generated-file:.ilk",""
"C++","Shamir_Secret\Debug\Shamir_Secret.pdb","2019328","2021-03-15T17:11:26.0484860Z","2019-06-11T19:05:40.0000000Z","2026-07-14T07:16:24.5862293Z","533536","0c7122bccdbffeab44607ce959dec5330944453c8e9976dedcea27563b038e7e","manifest-only","generated-file:.pdb",""
"C++","Shamir_Secret\Shamir_Secret.sln","1460","2021-03-15T17:11:26.0484860Z","2019-06-01T15:21:15.0000000Z","2026-07-14T07:16:24.5962249Z","533536","554941a4ffe785c6cc39a8e427813dc75100f611f7b97416ece154f321e40b15","copied","tracked-original-file","projects\C++\Shamir_Secret\Shamir_Secret.sln"
"C++","Shamir_Secret\Shamir_Secret\data.txt","83182","2021-03-15T17:11:26.0797302Z","2019-06-11T19:06:18.0000000Z","2026-07-14T07:16:24.6092260Z","533536","b6ea1d942f7c68c17164f7e25da8ec24030c1fbcdcc2c178f1eed6f97583d7d5","copied","tracked-original-file","projects\C++\Shamir_Secret\Shamir_Secret\data.txt"
"C++","Shamir_Secret\Shamir_Secret\Debug\FileIO.obj","738679","2021-03-15T17:11:26.0953497Z","2019-06-09T13:56:53.0000000Z","2026-07-14T07:16:24.6188172Z","533536","cb1bf931b6d94c68f9f6abdc6ad3bbf38eb6a6b387f131feebe06a3d25eee95e","manifest-only","generated-file:.obj",""
"C++","Shamir_Secret\Shamir_Secret\Debug\infoIO.obj","413611","2021-03-15T17:11:26.0953497Z","2019-06-09T13:03:09.0000000Z","2026-07-14T07:16:24.6237297Z","533536","9e9e5d9692f60d0215506c6c542cb72e995317def698ebbc1b9b925c53af0356","manifest-only","generated-file:.obj",""
"C++","Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.log","7534","2021-03-15T17:11:26.0953497Z","2019-06-11T19:05:40.0000000Z","2026-07-14T07:16:24.6277392Z","533536","34605b14fc10102d01f568c287fe4832450598e2c1b5e1fb08985e99a5b2ce16","manifest-only","generated-file:.log",""
"C++","Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.obj","746604","2021-03-15T17:11:26.0953497Z","2019-06-11T19:05:40.0000000Z","2026-07-14T07:16:24.6287367Z","533536","35ddf747075ebc4a9b79f9124d1c7443d840052e93e68383bce4e6358ac7c703","manifest-only","generated-file:.obj",""
"C++","Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.tlog\CL.command.1.tlog","3282","2021-03-15T17:11:26.1109709Z","2019-06-11T19:05:40.0000000Z","2026-07-14T07:16:24.6347359Z","533536","05df18530240fa09dcc04365ecc626da3a24266016a08b4bdf25b93f9da02d2e","manifest-only","generated-file:.tlog",""
"C++","Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.tlog\CL.read.1.tlog","201058","2021-03-15T17:11:26.1109709Z","2019-06-11T19:05:40.0000000Z","2026-07-14T07:16:24.6357371Z","533536","f2fe4c2c82ad8091d76c91d5038458a6724dd453fce90ca47f48b65f563e5240","manifest-only","generated-file:.tlog",""
"C++","Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.tlog\CL.write.1.tlog","5442","2021-03-15T17:11:26.1109709Z","2019-06-11T19:05:40.0000000Z","2026-07-14T07:16:24.6387395Z","533536","c4047d42d5b8b4eb93c07435d3e5ebff8777904aaca01cbbe947da2edfdb1738","manifest-only","generated-file:.tlog",""
"C++","Shamir_Secret\Shamir_Secret\Debug\Shamir_Secret.tlog\link.command.1.tlog","3224","2021-03-15T17:11:26.1109709Z","2019-06-11T19:05:40.0000000Z","2026-07-14T07:16:24.6407398Z","533536","26f2807c66a68d9e7ed2a4393954ca8cfd3fc5175d6ced36a65608ce5ef9e3d2","manifest-only","generated-file:.tlog",""
